sample-id	experiment	run	group	host	isolation_source	stage	status	days_since_experiment_start
#q2:types	categorical 	categorical 	categorical 	categorical	categorical 	categorical 	categorical 	numeric
Fd5.5	SRX13256612	SRR17067901	HR2	chick_5	cloacal_swab	Feeding	5dph	5
Fd5.4	SRX13256611	SRR17067902	HR2	chick_4	cloacal_swab	Feeding	5dph	5
Fd5.3	SRX13256610	SRR17067903	HR2	chick_3	cloacal_swab	Feeding	5dph	5
Fd5.2	SRX13256609	SRR17067904	HR2	chick_2	cloacal_swab	Feeding	5dph	5
Cd3.10	SRX13256608	SRR17067905	HR1	chick_10	cloacal_swab	Feeding	3dph	3
Fd5.1	SRX13256607	SRR17067906	HR2	chick_1	cloacal_swab	Feeding	5dph	5
Fd3.5	SRX13256606	SRR17067907	HR2	chick_5	cloacal_swab	Feeding	3dph	3
Fd3.4	SRX13256605	SRR17067908	HR2	chick_4	cloacal_swab	Feeding	3dph	3
Fd3.3	SRX13256604	SRR17067909	HR2	chick_3	cloacal_swab	Feeding	3dph	3
Fd3.2	SRX13256603	SRR17067910	HR2	chick_2	cloacal_swab	Feeding	3dph	3
Fd3.1	SRX13256602	SRR17067911	HR2	chick_1	cloacal_swab	Feeding	3dph	3
Cd7.O	SRX13256601	SRR17067912	HR1	hen	oropharyngeal_swab	Feeding	7dph	7
Cd7.F	SRX13256600	SRR17067913	HR1	hen	feather	Feeding	7dph	7
Cd7.C	SRX13256599	SRR17067914	HR1	hen	cloacal_swab	Feeding	7dph	7
Cd5.O	SRX13256598	SRR17067915	HR1	hen	oropharyngeal_swab	Feeding	5dph	5
Cd3.9	SRX13256597	SRR17067916	HR1	chick_9	cloacal_swab	Feeding	3dph	3
Cd5.F	SRX13256596	SRR17067917	HR1	hen	feather	Feeding	5dph	5
Cd5.C	SRX13256595	SRR17067918	HR1	hen	cloacal_swab	Feeding	5dph	5
Cd3.O	SRX13256594	SRR17067919	HR1	hen	oropharyngeal_swab	Feeding	3dph	3
Cd3.F	SRX13256593	SRR17067920	HR1	hen	feather	Feeding	3dph	3
Cd3.C	SRX13256592	SRR17067921	HR1	hen	cloacal_swab	Feeding	3dph	3
Cd17.10	SRX13256591	SRR17067922	HR1	chick_10	cloacal_swab	Feeding	17dph	17
Cd17.9	SRX13256590	SRR17067923	HR1	chick_9	cloacal_swab	Feeding	17dph	17
Cd17.8	SRX13256589	SRR17067924	HR1	chick_8	cloacal_swab	Feeding	17dph	17
Cd17.7	SRX13256588	SRR17067925	HR1	chick_7	cloacal_swab	Feeding	17dph	17
Cd17.6	SRX13256587	SRR17067926	HR1	chick_6	cloacal_swab	Feeding	17dph	17
Cd3.8	SRX13256586	SRR17067927	HR1	chick_8	cloacal_swab	Feeding	3dph	3
Cd11.9	SRX13256585	SRR17067928	HR1	chick_9	cloacal_swab	Feeding	11dph	11
Cd11.8	SRX13256584	SRR17067929	HR1	chick_8	cloacal_swab	Feeding	11dph	11
Cd11.6	SRX13256583	SRR17067930	HR1	chick_6	cloacal_swab	Feeding	11dph	11
BD14-4	SRX13256582	SRR17067931	SR	chick_4	cloacal_swab	Infection	14dpi	42
BD14-3	SRX13256581	SRR17067932	SR	chick_3	cloacal_swab	Infection	14dpi	42
BD14-2	SRX13256580	SRR17067933	SR	chick_2	cloacal _swab	Infection	14dpi	42
BD14-1	SRX13256579	SRR17067934	SR	chick_1	cloacal_swab	Infection	14dpi	42
BD7-4	SRX13256578	SRR17067935	SR	chick_4	cloacal_swab	Infection	7dpi	35
BD7-3	SRX13256577	SRR17067936	SR	chick_3	cloacal_swab	Infection	7dpi	35
BD7-2	SRX13256576	SRR17067937	SR	chick_2	cloacal_swab	Infection	7dpi	35
BD7-1	SRX13256575	SRR17067938	SR	chick_1	cloacal_swab	Infection	7dpi	35
BD5-5	SRX13256574	SRR17067939	SR	chick_5	cloacal_swab	Infection	5dpi	33
Cd11.5	SRX13256573	SRR17067940	HR1	chick_5	cloacal_swab	Feeding	11dph	11
BD5-4	SRX13256572	SRR17067941	SR	chick_4	cloacal_swab	Infection	5dpi	33
BD5-3	SRX13256571	SRR17067942	SR	chick_3	cloacal_swab	Infection	5dpi	33
BD5-2	SRX13256570	SRR17067943	SR	chick_2	cloacal_swab	Infection	5dpi	33
BD5-1	SRX13256569	SRR17067944	SR	chick_1	cloacal_swab	Infection	5dpi	33
BD3-6	SRX13256568	SRR17067945	SR	chick_6	cloacal_swab	Infection	3dpi	31
BD3-5	SRX13256567	SRR17067946	SR	chick_5	cloacal_swab	Infection	3dpi	31
BD3-4	SRX13256566	SRR17067947	SR	chick_4	cloacal_swab	Infection	3dpi	31
BD3-3	SRX13256565	SRR17067948	SR	chick_3	cloacal_swab	Infection	3dpi	31
BD3-1	SRX13256564	SRR17067949	SR	chick_1	cloacal_swab	Infection	3dpi	31
Pd28.5	SRX13256563	SRR17067950	SR	chick_5	cloacal_swab	Feeding	28dph	28
Cd11.4	SRX13256562	SRR17067951	HR1	chick_4	cloacal_swab	Feeding	11dph	11
Pd28.4	SRX13256561	SRR17067952	SR	chick_4	cloacal_swab	Feeding	28dph	28
Pd28.3	SRX13256560	SRR17067953	SR	chick_3	cloacal_swab	Feeding	28dph	28
Pd28.2	SRX13256559	SRR17067954	SR	chick_2	cloacal_swab	Feeding	28dph	28
Pd28.1	SRX13256558	SRR17067955	SR	chick_1	cloacal_swab	Feeding	28dph	28
Pd17.5	SRX13256557	SRR17067956	SR	chick_5	cloacal_swab	Feeding	17dph	17
Pd17.4	SRX13256556	SRR17067957	SR	chick_4	cloacal_swab	Feeding	17dph	17
Pd17.3	SRX13256555	SRR17067958	SR	chick_3	cloacal_swab	Feeding	17dph	17
Pd17.2	SRX13256554	SRR17067959	SR	chick_2	cloacal_swab	Feeding	17dph	17
Pd17.1	SRX13256553	SRR17067960	SR	chick_1	cloacal_swab	Feeding	17dph	17
Pd11.5	SRX13256552	SRR17067961	SR	chick_5	cloacal_swab	Feeding	11dph	11
Cd7.10	SRX13256551	SRR17067962	HR1	chick_10	cloacal_swab	Feeding	7dph	7
Pd11.4	SRX13256550	SRR17067963	SR	chick_4	cloacal_swab	Feeding	11dph	11
Pd11.3	SRX13256549	SRR17067964	SR	chick_3	cloacal_swab	Feeding	11dph	11
Pd11.2	SRX13256548	SRR17067965	SR	chick_2	cloacal_swab	Feeding	11dph	11
Pd11.1	SRX13256547	SRR17067966	SR	chick_1	cloacal_swab	Feeding	11dph	11
Pd7.4	SRX13256546	SRR17067967	SR	chick_4	cloacal_swab	Feeding	7dph	7
Pd7.3	SRX13256545	SRR17067968	SR	chick_3	cloacal_swab	Feeding	7dph	7
Pd7.2	SRX13256544	SRR17067969	SR	chick_2	cloacal_swab	Feeding	7dph	7
Pd7.1	SRX13256543	SRR17067970	SR	chick_1	cloacal_swab	Feeding	7dph	7
Pd5.5	SRX13256542	SRR17067971	SR	chick_5	cloacal_swab	Feeding	5dph	5
Pd5.4	SRX13256541	SRR17067972	SR	chick_4	cloacal_swab	Feeding	5dph	5
Cd7.9	SRX13256540	SRR17067973	HR1	chick_9	cloacal_swab	Feeding	7dph	7
Pd5.3	SRX13256539	SRR17067974	SR	chick_3	cloacal_swab	Feeding	5dph	5
Pd5.2	SRX13256538	SRR17067975	SR	chick_2	cloacal_swab	Feeding	5dph	5
Pd5.1	SRX13256537	SRR17067976	SR	chick_1	cloacal_swab	Feeding	5dph	5
Pd3.5	SRX13256536	SRR17067977	SR	chick_5	cloacal_swab	Feeding	3dph	3
Pd3.4	SRX13256535	SRR17067978	SR	chick_4	cloacal_swab	Feeding	3dph	3
Pd3.3	SRX13256534	SRR17067979	SR	chick_3	cloacal_swab	Feeding	3dph	3
Pd3.2	SRX13256533	SRR17067980	SR	chick_2	cloacal_swab	Feeding	3dph	3
Pd3.1	SRX13256532	SRR17067981	SR	chick_1	cloacal_swab	Feeding	3dph	3
Gd7.O	SRX13256531	SRR17067982	HR3	hen	oropharyngeal_swab	Feeding	7dph	7
Gd7.F	SRX13256530	SRR17067983	HR3	hen	feather	Feeding	7dph	7
Cd7.8	SRX13256529	SRR17067984	HR1	chick_8	cloacal_swab	Feeding	7dph	7
Gd7.C	SRX13256528	SRR17067985	HR3	hen	cloacal_swab	Feeding	7dph	7
Gd5.O	SRX13256527	SRR17067986	HR3	hen	oropharyngeal_swab	Feeding	5dph	5
Gd5.F	SRX13256526	SRR17067987	HR3	hen	feather	Feeding	5dph	5
Gd5.C	SRX13256525	SRR17067988	HR3	hen	cloacal_swab	Feeding	5dph	5
Gd3.O	SRX13256524	SRR17067989	HR3	hen	oropharyngeal_swab	Feeding	3dph	3
Gd3.F	SRX13256523	SRR17067990	HR3	hen	feather	Feeding	3dph	3
Gd3.C	SRX13256522	SRR17067991	HR3	hen	cloacal_swab	Feeding	3dph	3
Gd17.5	SRX13256521	SRR17067992	HR3	chick_5	cloacal_swab	Feeding	17dph	17
Gd17.4	SRX13256520	SRR17067993	HR3	chick_4	cloacal_swab	Feeding	17dph	17
Gd17.3	SRX13256519	SRR17067994	HR3	chick_3	cloacal_swab	Feeding	17dph	17
Cd7.7	SRX13256518	SRR17067995	HR1	chick_7	cloacal_swab	Feeding	7dph	7
Gd17.2	SRX13256517	SRR17067996	HR3	chick_2	cloacal_swab	Feeding	17dph	17
Gd17.1	SRX13256516	SRR17067997	HR3	chick_1	cloacal_swab	Feeding	17dph	17
Gd11.8	SRX13256515	SRR17067998	HR3	chick_8	cloacal_swab	Feeding	11dph	11
Gd11.7	SRX13256514	SRR17067999	HR3	chick_7	cloacal_swab	Feeding	11dph	11
Gd11.5	SRX13256513	SRR17068000	HR3	chick_5	cloacal_swab	Feeding	11dph	11
Gd11.2	SRX13256512	SRR17068001	HR3	chick_2	cloacal_swab	Feeding	11dph	11
Gd11.1	SRX13256511	SRR17068002	HR3	chick_1	cloacal_swab	Feeding	11dph	11
Gd7.5	SRX13256510	SRR17068003	HR3	chick_5	cloacal_swab	Feeding	7dph	7
Gd7.4	SRX13256509	SRR17068004	HR3	chick_4	cloacal_swab	Feeding	7dph	7
Gd7.3	SRX13256508	SRR17068005	HR3	chick_3	cloacal_swab	Feeding	7dph	7
Cd7.6	SRX13256507	SRR17068006	HR1	chick_6	cloacal_swab	Feeding	7dph	7
Cd3.7	SRX13256506	SRR17068007	HR1	chick_7	cloacal_swab	Feeding	3dph	3
Cd3.6	SRX13256505	SRR17068008	HR1	chick_6	cloacal_swab	Feeding	3dph	3
AD5-1	SRX13256504	SRR17068009	HR2	chick_1	cloacal_swab	Infection	5dpi	33
AD3-6	SRX13256503	SRR17068010	HR2	chick_6	cloacal_swab	Infection	3dpi	31
AD3-5	SRX13256502	SRR17068011	HR2	chick_5	cloacal_swab	Infection	3dpi	31
AD3-3	SRX13256501	SRR17068012	HR2	chick_3	cloacal_swab	Infection	3dpi	31
AD3-2	SRX13256500	SRR17068013	HR2	chick_2	cloacal_swab	Infection	3dpi	31
AD3-1	SRX13256499	SRR17068014	HR2	chick_1	cloacal_swab	Infection	3dpi	31
Fd7.O	SRX13256498	SRR17068015	HR2	hen	oropharyngeal_swab	Feeding	7dph	7
Cd5.8	SRX13256497	SRR17068016	HR1	chick_8	cloacal_swab	Feeding	5dph	5
Fd7.F	SRX13256496	SRR17068017	HR2	hen	feather	Feeding	7dph	7
Fd7.C	SRX13256495	SRR17068018	HR2	hen	cloacal_swab	Feeding	7dph	7
Fd5.O	SRX13256494	SRR17068019	HR2	hen	oropharyngeal_swab	Feeding	5dph	5
Fd5.F	SRX13256493	SRR17068020	HR2	hen	feather	Feeding	5dph	5
Fd5.C	SRX13256492	SRR17068021	HR2	hen	cloacal_swab	Feeding	5dph	5
Fd3.O	SRX13256491	SRR17068022	HR2	hen	oropharyngeal_swab	Feeding	3dph	3
Fd3.F	SRX13256490	SRR17068023	HR2	hen	feather	Feeding	3dph	3
Fd3.C	SRX13256489	SRR17068024	HR2	hen	cloacal_swab	Feeding	3dph	3
Fd28.4	SRX13256488	SRR17068025	HR2	chick_4	cloacal_swab	Feeding	28dph	28
Fd28.3	SRX13256487	SRR17068026	HR2	chick_3	cloacal_swab	Feeding	28dph	28
Cd5.7	SRX13256486	SRR17068027	HR1	chick_7	cloacal_swab	Feeding	5dph	5
Fd28.2	SRX13256485	SRR17068028	HR2	chick_2	cloacal_swab	Feeding	28dph	28
Fd28.1	SRX13256484	SRR17068029	HR2	chick_1	cloacal_swab	Feeding	28dph	28
Fd17.5	SRX13256483	SRR17068030	HR2	chick_5	cloacal_swab	Feeding	17dph	17
Fd17.4	SRX13256482	SRR17068031	HR2	chick_4	cloacal_swab	Feeding	17dph	17
Fd17.3	SRX13256481	SRR17068032	HR2	chick_3	cloacal_swab	Feeding	17dph	17
Fd17.2	SRX13256480	SRR17068033	HR2	chick_2	cloacal_swab	Feeding	17dph	17
Fd11.5	SRX13256479	SRR17068034	HR2	chick_5	cloacal_swab	Feeding	11dph	11
Fd11.4	SRX13256478	SRR17068035	HR2	chick_4	cloacal_swab	Feeding	11dph	11
Fd11.3	SRX13256477	SRR17068036	HR2	chick_3	cloacal_swab	Feeding	11dph	11
Fd11.2	SRX13256476	SRR17068037	HR2	chick_2	cloacal_swab	Feeding	11dph	11
Cd5.6	SRX13256475	SRR17068038	HR1	chick_6	cloacal_swab	Feeding	5dph	5
Fd11.1	SRX13256474	SRR17068039	HR2	chick_1	cloacal_swab	Feeding	11dph	11
Fd7.5	SRX13256473	SRR17068040	HR2	chick_5	cloacal_swab	Feeding	7dph	7
Fd7.4	SRX13256472	SRR17068041	HR2	chick_4	cloacal_swab	Feeding	7dph	7
Fd7.3	SRX13256471	SRR17068042	HR2	chick_3	cloacal_swab	Feeding	7dph	7
Fd7.2	SRX13256470	SRR17068043	HR2	chick_2	cloacal_swab	Feeding	7dph	7
Fd7.1	SRX13256469	SRR17068044	HR2	chick_1	cloacal_swab	Feeding	7dph	7
Gd7.2	SRX13256468	SRR17068045	HR3	chick_2	cloacal_swab	Feeding	7dph	7
Gd7.1	SRX13256467	SRR17068046	HR3	chick_1	cloacal_swab	Feeding	7dph	7
Gd5.5	SRX13256466	SRR17068047	HR3	chick_5	cloacal_swab	Feeding	5dph	5
Gd5.4	SRX13256465	SRR17068048	HR3	chick_4	cloacal_swab	Feeding	5dph	5
Gd5.3	SRX13256464	SRR17068049	HR3	chick_3	cloacal_swab	Feeding	5dph	5
Gd5.2	SRX13256463	SRR17068050	HR3	chick_2	cloacal_swab	Feeding	5dph	5
Gd5.1	SRX13256462	SRR17068051	HR3	chick_1	cloacal_swab	Feeding	5dph	5
Gd3.5	SRX13256461	SRR17068052	HR3	chick_5	cloacal_swab	Feeding	3dph	3
Gd3.4	SRX13256460	SRR17068053	HR3	chick_4	cloacal_swab	Feeding	3dph	3
Gd3.3	SRX13256459	SRR17068054	HR3	chick_3	cloacal_swab	Feeding	3dph	3
Cd5.10	SRX13256458	SRR17068055	HR1	chick_10	cloacal_swab	Feeding	5dph	5
Gd3.2	SRX13256457	SRR17068056	HR3	chick_2	cloacal_swab	Feeding	3dph	3
Gd3.1	SRX13256456	SRR17068057	HR3	chick_1	cloacal_swab	Feeding	3dph	3
AD14-3	SRX13256455	SRR17068058	HR2	chick_3	cloacal_swab	Infection	14dpi	42
AD14-2	SRX13256454	SRR17068059	HR2	chick_2	cloacal_swab	Infection	14dpi	42
AD14-1	SRX13256453	SRR17068060	HR2	chick_1	cloacal_swab	Infection	14dpi	42
AD7-8	SRX13256452	SRR17068061	HR2	chick_8	cloacal_swab	Infection	7dpi	35
AD7-3	SRX13256451	SRR17068062	HR2	chick_3	cloacal_swab	Infection	7dpi	35
AD7-2	SRX13256450	SRR17068063	HR2	chick_2	cloacal_swab	Infection	7dpi	35
AD7-1	SRX13256449	SRR17068064	HR2	chick_1	cloacal_swab	Infection	7dpi	35
AD5-5	SRX13256448	SRR17068065	HR2	chick_5	cloacal_swab	Infection	5dpi	33
Cd5.9	SRX13256447	SRR17068066	HR1	chick_9	cloacal_swab	Feeding	5dph	5
AD5-4	SRX13256446	SRR17068067	HR2	chick_4	cloacal_swab	Infection	5dpi	33
AD5-3	SRX13256445	SRR17068068	HR2	chick_3	cloacal_swab	Infection	5dpi	33
AD5-2	SRX13256444	SRR17068069	HR2	chick_2	cloacal_swab	Infection	5dpi	33
